Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,1.320132,1.322401,1.319592,1.320132,1.320132,0
2013-01-02,1.319784,1.329805,1.319435,1.319784,1.319784,0
2013-01-03,1.318392,1.318913,1.308900,1.318218,1.318218,0
2013-01-04,1.303101,1.306380,1.300052,1.303271,1.303271,0
2013-01-07,1.306848,1.309929,1.302060,1.306745,1.306745,0
2013-01-08,1.312336,1.313819,1.306762,1.312508,1.312508,0
2013-01-09,1.308387,1.309500,1.303900,1.308233,1.308233,0
2013-01-10,1.305364,1.321598,1.304104,1.305483,1.305483,0
2013-01-11,1.327316,1.336211,1.325205,1.327316,1.327316,0
2013-01-14,1.336005,1.340303,1.333840,1.336202,1.336202,0
2013-01-15,1.337793,1.339405,1.331079,1.337793,1.337793,0
2013-01-16,1.331026,1.332701,1.326084,1.330849,1.330849,0
2013-01-17,1.329080,1.337614,1.327105,1.329080,1.329080,0
2013-01-18,1.337256,1.339764,1.329734,1.337256,1.337256,0
2013-01-21,1.331913,1.333156,1.330130,1.332001,1.332001,0
2013-01-22,1.331026,1.337301,1.327181,1.331150,1.331150,0
2013-01-23,1.331558,1.335800,1.327401,1.331398,1.331398,0
2013-01-24,1.330849,1.337793,1.328870,1.330849,1.330849,0
2013-01-25,1.336898,1.347911,1.335327,1.336934,1.336934,0
2013-01-28,1.346620,1.347551,1.342759,1.346602,1.346602,0
2013-01-29,1.344809,1.349182,1.341742,1.344628,1.344628,0
2013-01-30,1.349164,1.357700,1.348363,1.349164,1.349164,0
2013-01-31,1.356852,1.359000,1.354401,1.356834,1.356834,0
2013-02-01,1.361100,1.369300,1.358890,1.361100,1.361100,0
2013-02-04,1.364722,1.364815,1.354830,1.364871,1.364871,0
2013-02-05,1.351078,1.356907,1.346439,1.351169,1.351169,0
2013-02-06,1.358327,1.359619,1.350238,1.358142,1.358142,0
2013-02-07,1.352265,1.357559,1.337370,1.352393,1.352393,0
2013-02-08,1.338545,1.342799,1.336541,1.338939,1.338939,0
